"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","V1","C","","00:00:00:00","00:00:07:04","01:00:00:00","01:00:07:09","CHERET-Communications_Intro","","00:00:00:00","00:00:08:00","00:00:08:00","H.264 High L4.2","25.000","1920x1080","","","",""
"2","","","A1","C","","00:00:00:00","00:00:07:04","01:00:00:00","01:00:07:09","CHERET-Communications_Intro","","00:00:00:00","00:00:08:00","00:00:08:00","H.264 High L4.2","25.000","","","","",""
"3","","","A2","C","","00:29:00:44","00:29:12:07","01:00:00:00","01:00:11:13","The Silent Forest - Chillstep Mix","","00:00:00:00","01:02:23:47","01:02:23:47","","50.000","","","","",""
"4","","","V1","D","24","01:00:06:47","01:00:07:21","01:00:06:47","01:00:07:21","Cross Dissolve","","","","","","0.000","","","","",""
"5","","","A1","D","24","01:00:06:47","01:00:07:21","01:00:06:47","01:00:07:21","Cross Fade 0 dB","","","","","","0.000","","","","",""
"6","","","V1","C","","00:00:07:12","00:00:51:12","01:00:07:09","01:00:51:11","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"7","","","A1","C","","00:00:07:12","00:00:51:12","01:00:07:09","01:00:51:11","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"8","","","V1","D","14","01:00:51:04","01:00:51:18","01:00:51:04","01:00:51:18","Cross Dissolve","","","","","","0.000","","","","",""
"9","","","A1","D","14","01:00:51:04","01:00:51:18","01:00:51:04","01:00:51:18","Cross Fade 0 dB","","","","","","0.000","","","","",""
"10","","","V1","C","","00:01:22:04","00:08:14:12","01:00:51:11","01:07:43:29","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"11","","","A1","C","","00:01:22:04","00:08:14:12","01:00:51:11","01:07:43:29","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"12","","","V2","C","0","00:00:00:00","00:00:00:00","01:02:35:33","01:02:55:05","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 1","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"13","","","V2","C","0","00:00:00:00","00:00:00:00","01:02:55:05","01:03:14:29","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 2","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"14","","","V2","C","0","00:00:00:00","00:00:00:00","01:03:14:29","01:03:22:21","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 3","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"15","","","V2","D","12","01:03:22:15","01:03:22:27","01:03:22:15","01:03:22:27","Cross Dissolve","","","","","","0.000","","","","",""
